Date,Open,High,Low,Close,Adj Close,Volume
21/11/2019,10.35,10.45,10.2,10.2,10.2,4.304.070
20/11/2019,10.6,10.6,10.35,10.4,10.4,5.039.400
19/11/2019,10.55,10.65,10.55,10.6,10.6,2.332.900
18/11/2019,10.75,10.8,10.6,10.6,10.6,2.213.290
15/11/2019,10.8,10.8,10.65,10.7,10.7,1.800.810
14/11/2019,10.8,10.85,10.65,10.7,10.7,2.064.260
13/11/2019,10.8,10.9,10.75,10.8,10.8,2.249.060
12/11/2019,10.85,10.85,10.75,10.75,10.75,1.677.030
11/11/2019,10.85,10.9,10.75,10.8,10.8,3.248.540
8/11/2019,10.9,11,10.85,10.85,10.85,2.863.990
7/11/2019,11,11,10.85,10.9,10.9,4.078.980
6/11/2019,10.95,11.05,10.9,11,11,4.855.650
5/11/2019,10.95,10.95,10.85,10.95,10.95,4.411.700
4/11/2019,10.9,11.1,10.85,10.9,10.9,6.499.460
1/11/2019,10.8,10.95,10.7,10.9,10.9,3.882.580
31/10/2019,10.8,10.85,10.65,10.8,10.8,3.127.620
30/10/2019,10.7,10.8,10.65,10.7,10.7,2.781.010
29/10/2019,10.8,10.9,10.65,10.65,10.65,5.323.070
28/10/2019,11,11,10.75,10.85,10.85,5.437.940
25/10/2019,10.95,11,10.85,10.9,10.9,1.939.620
24/10/2019,11,11.05,10.9,10.95,10.95,2.314.420
23/10/2019,11,11.1,10.95,11,11,1.876.200
22/10/2019,10.9,11.1,10.9,11,11,3.812.730
21/10/2019,10.85,10.95,10.7,10.95,10.95,3.132.590
18/10/2019,10.95,11.05,10.8,10.8,10.8,3.296.290
17/10/2019,11.05,11.05,10.9,10.9,10.9,3.904.920
16/10/2019,11.1,11.2,11,11.05,11.05,2.443.980
15/10/2019,11.1,11.2,11,11.05,11.05,2.781.510
14/10/2019,11.1,11.3,11.1,11.1,11.1,6.856.600
11/10/2019,10.8,11.25,10.8,11,11,8.113.200
10/10/2019,10.9,10.95,10.8,10.8,10.8,3.374.460
9/10/2019,11,11.1,10.85,10.9,10.9,5.653.080
8/10/2019,10.6,11,10.55,11,11,11.722.970
7/10/2019,10.45,10.6,10.4,10.5,10.5,3.041.990
4/10/2019,10.5,10.6,10.4,10.4,10.4,1.766.130
3/10/2019,10.35,10.5,10.3,10.5,10.5,2.404.630
2/10/2019,10.5,10.6,10.4,10.4,10.4,3.177.060
1/10/2019,10.55,10.6,10.45,10.5,10.5,3.716.610
30/09/2019,10.7,10.75,10.55,10.55,10.55,3.901.750
27/09/2019,10.7,10.75,10.6,10.65,10.65,4.250.870
26/09/2019,10.6,10.7,10.55,10.7,10.7,3.308.980
25/09/2019,10.45,10.65,10.45,10.6,10.6,2.613.640
24/09/2019,10.55,10.65,10.5,10.5,10.5,2.965.660
23/09/2019,10.35,10.75,10.35,10.55,10.55,11.216.570
20/09/2019,10.6,10.6,10.35,10.35,10.35,3.594.730
19/09/2019,10.2,10.55,10.15,10.55,10.55,8.165.240
18/09/2019,10.2,10.3,10.15,10.2,10.2,3.453.760
17/09/2019,10.25,10.35,10.15,10.2,10.2,3.517.780
16/09/2019,10.35,10.4,10.25,10.35,10.35,2.484.340
13/09/2019,10.15,10.35,10.1,10.35,10.35,4.231.290
12/9/2019,10.1,10.15,10.05,10.15,10.15,2.286.141
11/9/2019,10,10.1,10,10.05,10.05,1.463.100
10/9/2019,10.15,10.15,10,10.05,10.05,5.125.250
9/9/2019,10.25,10.25,10.1,10.1,10.1,1.396.010
6/9/2019,10.2,10.2,10.1,10.15,10.15,1.276.330
5/9/2019,10.15,10.3,10.1,10.15,10.15,2.863.620
4/9/2019,10.2,10.25,10.05,10.15,10.15,2.860.970
